Name,Builder Base League,Clan Rank,Donations,Donations Received,Experience Level,League,Role,Tag,Town Hall Level,Trophies,Previous Clan Rank
king of kings,Steel League I,1,78,2224,241,Legend League,leader,#22Y0C9CYC,16,5413,1
zoro,Platinum League II,2,410,5112,240,Legend League,coLeader,#88GP288Y,16,5268,2
YourExBf,Iron League II,3,0,555,233,Legend League,coLeader,#8L2CPPQVP,16,4941,3
Akash,Steel League III,4,78,438,221,Titan League I,member,#2QPVQV9YY,14,4877,4
Navneeth,Steel League I,5,808,2820,225,Titan League II,coLeader,#Y98V2VU2,15,4663,5
FIRE DRAGON,Iron League I,6,2042,2894,200,Titan League II,member,#9GCVLYY9Q,14,4600,6
JHON CENA,Brass League I,7,2998,3281,175,Titan League III,member,#9VUYUPVVJ,16,4296,7
Hashim Amla,Iron League II,8,1,249,208,Titan League III,admin,#P8J0VC02G,15,4217,8
lupandi,Steel League III,9,15,0,220,Titan League III,admin,#LYPRG2PRV,15,4116,9
darks619,Platinum League II,10,311,480,229,Champion League I,admin,#29Y8YQLR,15,3968,10
king of clans,Iron League II,11,0,243,195,Champion League I,member,#PJ8RCGUPY,14,3936,11
kaustubh shady,Iron League I,12,376,1125,213,Champion League II,coLeader,#8CCQLYPQ,14,3699,12
$HARK,Brass League I,13,5701,165,187,Unranked,admin,#QC0JL29P,16,3659,13
eriond,Iron League II,14,2374,0,211,Champion League II,member,#808QVGRR,14,3538,14
LEO™,Brass League I,15,122,936,188,Champion League III,member,#2VLJG80GU,14,3418,15
Ganesha Emperor,Iron League I,16,144,0,170,Champion League III,member,#9UQ89RYLJ,13,3315,16
TheBoogeyman,Iron League III,17,2956,251,203,Unranked,admin,#9UG2CQVJL,16,3255,17
shark,Iron League III,18,194,841,190,Champion League III,member,#QR9JQ9UL,13,3226,18
Nandan,Steel League II,19,0,0,216,Unranked,admin,#8C08LVLUV,15,3204,19
srinivas.m,Steel League I,20,0,0,178,Champion League III,member,#9Y2QY80VP,13,3165,20
Lt.Rocky,Iron League I,21,107,0,154,Master League I,member,#QG0900YVL,12,3148,21
aniruddha,Iron League I,22,33,534,163,Master League I,member,#88PPC2RP9,12,3047,22
Kiran,Steel League III,23,0,0,190,Unranked,member,#2QV0QPJGL,14,3012,23
RG⚡,Steel League II,24,6312,934,228,Master League II,coLeader,#22299CC8Y,14,2931,24
lightening bolt,Iron League III,25,125,488,152,Master League II,member,#29VU2Q22V,12,2859,26
K.S.A,Steel League II,26,0,90,174,Unranked,member,#8GV8P0CJQ,13,2856,25
Venom0411,Iron League III,27,0,0,164,Unranked,member,#Q20Q8PRJG,15,2824,27
KR$NA,Iron League III,28,0,0,165,Master League II,member,#Q0C8LQ92,13,2782,28
awesome anup,Iron League III,29,395,2042,158,Master League III,member,#2920VY2L0,12,2679,30
ViraG,Iron League I,30,0,0,209,Unranked,member,#82PQ00VJC,14,2666,32
karthicbhat,Titanium League II,31,699,0,187,Master League III,member,#202LLC0PP,13,2657,29
LUCKYXKI:)0,Steel League III,32,0,0,164,Master League III,member,#9UVJV88P8,12,2641,31
✖️❌seenu❌✖️,Iron League II,33,33,0,144,Crystal League I,member,#LUJYCR0PC,12,2546,33
Rajesh shenoy,Brass League III,34,0,0,136,Crystal League I,member,#Q2R9Y8P2L,12,2518,34
fappy,Iron League II,35,0,0,178,Unranked,member,#8PCJPPRUJ,13,2434,35
prashanth,Copper League III,36,0,70,138,Unranked,member,#2CGGQQ8UG,12,2353,36
suhas belgur,Copper League III,37,0,0,146,Unranked,member,#YLULRRJLY,13,2304,37
kushank,Brass League II,38,0,0,107,Crystal League II,member,#2Y0QRYVJR,11,2297,38
...PK...,Iron League II,39,0,218,164,Unranked,member,#2CVUYY9VY,12,2287,39
rajath_targ,Brass League III,40,45,367,132,Crystal League II,member,#VQJQQULC,11,2238,40
MugilanAR,Brass League I,41,0,0,153,Unranked,member,#8L22G8VP9,12,2165,41
GOWDA,Brass League II,42,0,0,140,Unranked,member,#PQG9VC8CR,12,2116,42
Scar,Brass League I,43,0,0,102,Crystal League III,member,#G8CCV8YVU,11,2084,43
limitless,Brass League I,44,0,0,146,Unranked,member,#22R8V2LQJ,12,1992,44
✖❌LIKITH❌✖,Brass League I,45,0,0,127,Crystal League III,member,#Q0G89CRQP,11,1992,45
ani,Brass League I,46,0,0,125,Unranked,member,#P98JY2GYR,11,1956,46
Sumukha bhat,Iron League III,47,0,0,116,Unranked,member,#9G9L8URJU,11,1853,47
Nandy,Brass League II,48,0,0,128,Unranked,member,#GQP9G2PL,10,1459,48
Doc46Darsh,Copper League II,49,0,0,83,Silver League I,member,#LJC8LGQL0,10,1285,49
